powder,test,media,mean_count,mean_SPR,lab,mean_count2,log_mean_count
G,SP.MSC,TSA,180,0,IB,180,2.255272505
H,HHR.TSC,PCMA,20,0,IB,20,1.301029996
H,HHR.TSC,TSA,20,0,IB,20,1.301029996
H,STSE,PCMA,0,0,IB,10,1
H,STSE,TSA,0,0,IB,10,1
H,SP.MSC,PCMA,60,1,IB,60,1.77815125
H,SP.MSC,TSA,280,1,IB,280,2.447158031
I,HHR.TSC,PCMA,20,0,IB,20,1.301029996
I,HHR.TSC,TSA,100,0,IB,100,2
I,STSE,PCMA,0,0,IB,10,1
I,STSE,TSA,0,0,IB,10,1
I,SP.MSC,PCMA,1080,1,IB,1080,3.033423755
I,SP.MSC,TSA,100,1,IB,100,2
J,HHR.TSC,PCMA,80,0,IB,80,1.903089987
J,HHR.TSC,TSA,0,0,IB,10,1
J,STSE,PCMA,20,0,IB,20,1.301029996
J,STSE,TSA,0,0,IB,10,1
J,SP.MSC,PCMA,60,1,IB,60,1.77815125
J,SP.MSC,TSA,60,0,IB,60,1.77815125
