"","lab","media","test","powder","mean_count","mean_count2","log_mean_count"
"223","UB","TSAwS","STSE","F",800,800,2.90308998699194
"224","UD","TSAwS","STSE","F",1420,1420,3.15228834438306
"225","UC","TSAwS","STSE","G",0,10,1
"226","UA","TSAwS","STSE","G",40,40,1.60205999132796
"227","UB","TSAwS","STSE","G",60,60,1.77815125038364
"228","UD","TSAwS","STSE","G",40,40,1.60205999132796
"229","UC","TSAwS","STSE","H",0,10,1
"230","UA","TSAwS","STSE","H",0,10,1
"231","UB","TSAwS","STSE","H",0,10,1
"232","UD","TSAwS","STSE","H",0,10,1
"233","UC","TSAwS","STSE","I",0,10,1
"234","UA","TSAwS","STSE","I",0,10,1
"235","UB","TSAwS","STSE","I",0,10,1
"236","UD","TSAwS","STSE","I",0,10,1
"237","UC","TSAwS","STSE","J",0,10,1
"238","UA","TSAwS","STSE","J",60,60,1.77815125038364
"239","UB","TSAwS","STSE","J",40,40,1.60205999132796
"240","UD","TSAwS","STSE","J",20,20,1.30102999566398
