powder,sampling_scheme,test,cfu_g,cfu_g2,log_cfu_g
G,33 g composite,SP MSC,80,80,1.903089987
G,33 g composite,STSE,300,300,2.477121255
G,33 g composite,HHR,740,740,2.86923172
G,33 g composite,SP MSC,80,80,1.903089987
G,33 g composite,STSE,200,200,2.301029996
H,11 g discrete,HHR,40,40,1.602059991
H,11 g discrete,SP MSC,180,180,2.255272505
H,11 g discrete,STSE,60,60,1.77815125
H,11 g discrete,HHR,0,10,1
H,11 g discrete,SP MSC,80,80,1.903089987
H,11 g discrete,STSE,60,60,1.77815125
H,11 g discrete,HHR,180,180,2.255272505
H,11 g discrete,SP MSC,100,100,2
H,11 g discrete,STSE,40,40,1.602059991
H,33 g discrete,HHR,80,80,1.903089987
H,33 g discrete,SP MSC,80,80,1.903089987
H,33 g discrete,STSE,20,20,1.301029996
H,33 g discrete,HHR,20,20,1.301029996
H,33 g discrete,SP MSC,80,80,1.903089987
H,33 g discrete,STSE,20,20,1.301029996
H,33 g discrete,HHR,40,40,1.602059991
H,33 g discrete,SP MSC,60,60,1.77815125
H,33 g discrete,STSE,20,20,1.301029996
H,33 g composite,HHR,100,100,2
H,33 g composite,SP MSC,40,40,1.602059991
H,33 g composite,STSE,180,180,2.255272505
H,33 g composite,HHR,60,60,1.77815125
H,33 g composite,SP MSC,80,80,1.903089987
H,33 g composite,STSE,40,40,1.602059991
H,33 g composite,HHR,80,80,1.903089987
H,33 g composite,SP MSC,20,20,1.301029996
H,33 g composite,STSE,20,20,1.301029996
I,11 g discrete,HHR,2260,2260,3.354108439
I,11 g discrete,SP MSC,80,80,1.903089987
I,11 g discrete,STSE,180,180,2.255272505
I,11 g discrete,HHR,1440,1440,3.158362492
I,11 g discrete,SP MSC,40,40,1.602059991
I,11 g discrete,STSE,40,40,1.602059991
I,11 g discrete,HHR,1980,1980,3.29666519
I,11 g discrete,SP MSC,80,80,1.903089987
I,11 g discrete,STSE,20,20,1.301029996
I,33 g discrete,HHR,1800,1800,3.255272505
I,33 g discrete,SP MSC,0,10,1
I,33 g discrete,STSE,120,120,2.079181246
I,33 g discrete,HHR,1500,1500,3.176091259
I,33 g discrete,SP MSC,60,60,1.77815125
I,33 g discrete,STSE,60,60,1.77815125
I,33 g discrete,HHR,1980,1980,3.29666519
I,33 g discrete,SP MSC,60,60,1.77815125
I,33 g discrete,STSE,40,40,1.602059991
I,33 g composite,HHR,1140,1140,3.056904851
I,33 g composite,SP MSC,100,100,2
I,33 g composite,STSE,100,100,2
I,33 g composite,HHR,1480,1480,3.170261715
I,33 g composite,SP MSC,80,80,1.903089987
I,33 g composite,STSE,40,40,1.602059991
I,33 g composite,HHR,1760,1760,3.245512668
I,33 g composite,SP MSC,80,80,1.903089987
I,33 g composite,STSE,120,120,2.079181246
J,11 g discrete,HHR,2080,2080,3.318063335
J,11 g discrete,SP MSC,20,20,1.301029996
J,11 g discrete,STSE,1260,1260,3.100370545
J,11 g discrete,HHR,1860,1860,3.269512944
J,11 g discrete,SP MSC,40,40,1.602059991
J,11 g discrete,STSE,1220,1220,3.086359831
J,11 g discrete,HHR,2040,2040,3.309630167
J,11 g discrete,SP MSC,80,80,1.903089987
J,11 g discrete,STSE,980,980,2.991226076
J,33 g discrete,HHR,1860,1860,3.269512944
J,33 g discrete,SP MSC,0,10,1
J,33 g discrete,STSE,1220,1220,3.086359831
