"","level1","level2","media","plating","estimate","std.error","df","statistic","p.value"
"60","HHR-TSC","STSE","PCMA","SpreadwOverlay",-5.09141340199193e-16,6.35536461690678,411.001809939357,-8.0112058220036e-17,1
"61","SP-MSC","SP-TSC","SMA","SpreadwOverlay",-15.8333333333333,6.69914251675629,411.001809939357,-2.36348656469542,0.0858720353759151
"62","SP-MSC","HHR-TSC","SMA","SpreadwOverlay",4.61718337174677e-15,6.69914251675629,411.001809939357,6.89220054685805e-16,1
"63","SP-MSC","STSE","SMA","SpreadwOverlay",3.10862446895044e-15,6.69914251675629,411.001809939357,4.64033189497755e-16,1
"64","SP-TSC","HHR-TSC","SMA","SpreadwOverlay",15.8333333333333,6.69914251675629,411.001809939357,2.36348656469542,0.0858720353759149
"65","SP-TSC","STSE","SMA","SpreadwOverlay",15.8333333333333,6.69914251675629,411.001809939357,2.36348656469542,0.0858720353759151
"66","HHR-TSC","STSE","SMA","SpreadwOverlay",-1.50834206236183e-15,6.69914251675628,411.001809939357,-2.25154496801506e-16,1
"67","SP-MSC","SP-TSC","TSAwS","SpreadwOverlay",-13.25,6.35536461690677,411.001809939357,-2.08485284459555,0.159751376460053
"68","SP-MSC","HHR-TSC","TSAwS","SpreadwOverlay",1,6.35536461690678,411.001809939357,0.157347384497778,0.998611270626851
"69","SP-MSC","STSE","TSAwS","SpreadwOverlay",1,6.35536461690677,411.001809939357,0.157347384497778,0.998611270626851
"70","SP-TSC","HHR-TSC","TSAwS","SpreadwOverlay",14.25,6.35536461690677,411.001809939357,2.24220022909333,0.11373083389981
"71","SP-TSC","STSE","TSAwS","SpreadwOverlay",14.25,6.35536461690677,411.001809939357,2.24220022909333,0.11373083389981
"72","HHR-TSC","STSE","TSAwS","SpreadwOverlay",-1.69417431472585e-15,6.35536461690678,411.001809939357,-2.66573897305427e-16,1
