"","powder","test","media","mean_count","mean_SPR","lab","mean_count2","log_mean_count"
"156","F","SP.MSC","TSA",60,"0","IB",60,1.77815125038364
"157","G","HHR.TSC","PCMA",140,"0","IB",140,2.14612803567824
"158","G","HHR.TSC","TSA",0,"0","IB",10,1
"159","G","STSE","PCMA",0,"0","IB",10,1
"160","G","STSE","TSA",0,"0","IB",10,1
"161","G","SP.MSC","PCMA",80,"1","IB",80,1.90308998699194
"162","G","SP.MSC","TSA",180,"0","IB",180,2.25527250510331
"163","H","HHR.TSC","PCMA",20,"0","IB",20,1.30102999566398
"164","H","HHR.TSC","TSA",20,"0","IB",20,1.30102999566398
"165","H","STSE","PCMA",0,"0","IB",10,1
"166","H","STSE","TSA",0,"0","IB",10,1
"167","H","SP.MSC","PCMA",60,"1","IB",60,1.77815125038364
"168","H","SP.MSC","TSA",280,"1","IB",280,2.44715803134222
"169","I","HHR.TSC","PCMA",20,"0","IB",20,1.30102999566398
"170","I","HHR.TSC","TSA",100,"0","IB",100,2
"171","I","STSE","PCMA",0,"0","IB",10,1
"172","I","STSE","TSA",0,"0","IB",10,1
"173","I","SP.MSC","PCMA",1080,"1","IB",1080,3.03342375548695
"174","I","SP.MSC","TSA",100,"1","IB",100,2
"175","J","HHR.TSC","PCMA",80,"0","IB",80,1.90308998699194
"176","J","HHR.TSC","TSA",0,"0","IB",10,1
"177","J","STSE","PCMA",20,"0","IB",20,1.30102999566398
"178","J","STSE","TSA",0,"0","IB",10,1
"179","J","SP.MSC","PCMA",60,"1","IB",60,1.77815125038364
"180","J","SP.MSC","TSA",60,"0","IB",60,1.77815125038364
